platform,trial,cover_name,payload_size_bytes,success,ber,failure_reason,timestamp
twitter,21,twitter/HRyk6A2aQAAzJQp.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:17:40.110686+00:00
twitter,22,twitter/HRyk2Q2boAAFFCO.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:17:48.220780+00:00
twitter,23,twitter/HRykxOyb0AEstCP.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:17:53.470445+00:00
twitter,24,twitter/HRykte4aoAAv5UR.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:18:08.439525+00:00
twitter,25,twitter/HRykn97bYAAVYB_.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:18:14.747157+00:00
twitter,26,twitter/HRykho2bMAAaVnf.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:18:21.186649+00:00
twitter,27,twitter/HRykdMwbsAADemL.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:18:28.101111+00:00
twitter,28,twitter/HRykXLlbsAER4vp.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:18:35.163126+00:00
twitter,29,twitter/HRykSWIbQAAnPl6.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:18:41.444230+00:00
twitter,30,twitter/HRykJseaYAAhC1k.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:18:48.662488+00:00
twitter,31,twitter/HRyj83wa8AAd4fH.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:18:55.380775+00:00
twitter,32,twitter/HRyj4C_awAAMb2z.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:01.536619+00:00
twitter,33,twitter/HRyjyJUbcAAFOYt.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:07.161683+00:00
twitter,34,twitter/HRyjrNgaYAEwU5A.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:13.860978+00:00
twitter,35,twitter/HRyjmjnbEAAqWZx.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:18.041236+00:00
twitter,36,twitter/HRyjiGaaoAARPrh.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:22.244068+00:00
twitter,37,twitter/HRyjbKyaEAAp0Gm.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:26.749123+00:00
twitter,38,twitter/HRyjWhRa0AAEWfi.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:30.826966+00:00
twitter,39,twitter/HRyjR5na0AAXdJM.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:38.487389+00:00
twitter,40,twitter/HRyjM21aIAAZlgF.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:42.862130+00:00
twitter,41,twitter/HRyjI2daoAAByvx.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:48.526302+00:00
twitter,42,twitter/HRyjFsMaQAA0s1F.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:19:53.890664+00:00
twitter,43,twitter/HRyjA3vb0AAGSF9.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:20:01.471550+00:00
twitter,44,twitter/HRyi83kaEAE3XxP.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:20:05.606319+00:00
twitter,45,twitter/HRyi4hZb0AEz4ME.jpg,100,False,1.00000000,DCT-QIM sync header missing; aggressive lossy JPEG transcode and spatial rescaling,2026-09-15T06:20:10.169265+00:00
